DD,DMS,geohash,UTM
51.5607,"51º33'38.52"" N",u10j7d36u5,31U 302850.05503661 5716014.1691097
0.1557,"0º09'20.52"" E",u10j7d36u5,31U 302850.05503661 5716014.1691097
